Type,Filename or Regex,Version or Message digest,Documentation URL,Provider,Notice,License 1,License 2, License 3
JAVA,commons-beanutils-1.7.0.jar,1.6,,apache,,Apache-2.0,,
JAVA,commons-cli-1.0.jar,E0DB06163E7D92638DDAD6534B875ED110F4AE9D5B1103F2AB51351F4C800063,,apache,Apache-1.1,Apache-1.1,,
JAVA,commons-cli-1.0.jar,F94669C925535CE657F60D38A5C5B483311AB9A5CEEC9209EE0D713BA2C3C2DE,,apache,Apache-1.1,Apache-1.1,,
JAVA,commons-codec-1.10.jar,1.10.0,,apache,,Apache-2.0,,
JAVA,commons-codec-1.5.jar,1.5,,apache,,Apache-2.0,,
JAVA,commons-collections-3.2.jar,3.2,,apache,,Apache-2.0,,
JAVA,commons-configuration-1.4.jar,B9C710FF1B9E71FD51FC93051866CE344C82CD734B7D1A5F8D919478A31826A6,,apache,,Apache-2.0,,
JAVA,commons-dbcp-1.4.jar,1.4,,apache,,Apache-2.0,,
JAVA,commons-discovery-0.2.jar,0.2,,apache,Apache-1.1,Apache-1.1,,
JAVA,commons-email-1.3.3.jar,1.3.3,,apache,,Apache-2.0,,
JAVA,commons-lang-2.4.jar,2.4,,apache,,Apache-2.0,,
JAVA,commons-lang-2.6.jar,2.6,,apache,,Apache-2.0,,
JAVA,commons-lang3-3.6.jar,3.6.0,,apache,,Apache-2.0,,
JAVA,commons-lang3-3.7.jar,3.7.0,,apache,,Apache-2.0,,
JAVA,commons-logging.jar,1.0.4.v200706111724,,EclipseFoundation,,EPL-1.0,,
JAVA,commons-logging-1.1.1.jar,1.1.1,,apache,,Apache-2.0,,
JAVA,commons-logging-1.1.3.jar,1.1.3,,apache,,Apache-2.0,,
JAVA,commons-pool-1.6.jar,1.6.0,,apache,,Apache-2.0,,
JAVA,commons-pool2-2.2.jar,2.2.0,,apache,,Apache-2.0,,
JAVA,cxf-core-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-bindings-soap-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-bindings-xml-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-databinding-jaxb-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-frontend-jaxws-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-frontend-simple-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-transports-jms-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-ws-addr-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
